00748200|20191130|75|02445258|4555073000675833CPS 83 00044228950021000003         |0074820075024452584555073000675833CPS 83 00044228950021000003         |20191129|20.48.32       |TC   |MP      |MP      |20191023|        |             855.24|IN|             286.00|   0.000000|               0.00|00003|00001|             569.24|
00748200|20191130|75|02445258|4555073000675833CPS 83 00044228950022000003         |0074820075024452584555073000675833CPS 83 00044228950022000003         |20191129|20.48.32       |TC   |MP      |MP      |20191128|        |            2145.80|IN|               0.00|   0.000000|               0.00|00003|00000|               0.00|
00748200|20191130|75|02445258|4555073000675833CPS 86 00057095630017000007         |0074820075024452584555073000675833CPS 86 00057095630017000007         |20191129|20.48.32       |TC   |MP      |MP      |20190625|        |            1480.00|IN|            1235.00|   0.000000|               0.00|00006|00005|             245.00|
00748200|20191130|75|02449970|4555143000292200CPS 92 00071408420017000001         |0074820075024499704555143000292200CPS 92 00071408420017000001         |20191129|20.48.32       |TC   |MP      |MP      |20190717|        |           31647.01|IN|           10552.00|   0.000000|               0.00|00012|00004|           21095.01|
00748200|20191130|75|02466441|4555073000687606CPS 98 00020251380019000001         |0074820075024664414555073000687606CPS 98 00020251380019000001         |20191129|20.48.32       |TC   |MP      |MP      |20191118|        |           14999.00|IN|               0.00|   0.000000|               0.00|00018|00000|               0.00|
00748200|20191130|75|02478083|4555143000334408CPS 98 00017457510007000001         |0074820075024780834555143000334408CPS 98 00017457510007000001         |20191129|20.48.32       |TC   |MP      |MP      |20190128|        |           16368.00|IN|            9100.00|   0.000000|               0.00|00018|00010|            6901.69|
00748200|20191130|75|02497657|4555073000702827CPS 83 00040147180015000023         |0074820075024976574555073000702827CPS 83 00040147180015000023         |20191129|20.48.32       |TC   |MP      |MP      |20191113|        |            2063.88|IN|             688.00|   0.000000|               0.00|00003|00001|            1375.88|
00748200|20191130|75|02516384|4555143000347996CPS 86 00055266290010000011         |0074820075025163844555143000347996CPS 86 00055266290010000011         |20191129|20.48.32       |TC   |MP      |MP      |20190722|        |            2999.00|CU|            2000.00|   0.000000|               0.00|00006|00005|               0.00|
00748200|20191130|75|02533955|4555143000359140CPS 83 00040644400012000013         |0074820075025339554555143000359140CPS 83 00040644400012000013         |20191129|20.48.32       |TC   |MP      |MP      |20191018|        |             347.45|IN|             116.00|   0.000000|               0.00|00003|00001|             231.45|
00748200|20191130|75|02552836|4555153000077535CPS 92 00017677970008000003         |0074820075025528364555153000077535CPS 92 00017677970008000003         |20191129|20.48.32       |TC   |MP      |MP      |20190618|20190718|            4980.00|CA|             415.00|   0.000000|               0.00|00012|00001|            4565.00|
00748200|20191130|75|02707783|4555143000447481CPS 86 00017090210002000004         |0074820075027077834555143000447481CPS 86 00017090210002000004         |20191129|20.48.32       |TC   |MP      |MP      |20190919|        |           17494.99|CU|            2916.00|   0.000000|               0.00|00006|00002|               0.00|
00749440|20191130|55|90038814|4555130532267545CPS 92 00018907480158000001         |0074944055900388144555130532267545CPS 92 00018907480158000001         |20191129|20.48.32       |TC   |MP      |MP      |20191116|        |           16278.25|IN|               0.00|   0.000000|               0.00|00012|00000|               0.00|
00749525|20191130|75|00548882|4555133001067529CPS 83 00067236130089000008         |0074952575005488824555133001067529CPS 83 00067236130089000008         |20191129|20.48.32       |TC   |MP      |MP      |20191023|        |          490000.00|IN|          163334.00|   0.000000|               0.00|00003|00001|          326666.00|
00740001|20191130|50|12018098|REV                    00000000000000000000         |007400015012018098REV                    00000000000000000000         |20191129|20.51.39       |TC   |MP      |MP      |        |        |               0.00|  |               0.00|   5.662700|               0.00|00000|00000|               0.00|
00740001|20191130|50|12043076|DEF                    00000000000000000000         |007400015012043076DEF                    00000000000000000000         |20191129|20.51.39       |TC   |MP      |MP      |        |        |               0.00|  |               0.00|   5.851600|               0.00|00000|00000|            2112.72|
00740001|20191130|50|12043076|REV                    00000000000000000000         |007400015012043076REV                    00000000000000000000         |20191129|20.51.39       |TC   |MP      |MP      |        |        |               0.00|  |               0.00|   5.851600|               0.00|00000|00000|            7656.94|
00740001|20191130|50|12046458|REV                    00000000000000000000         |007400015012046458REV                    00000000000000000000         |20191129|20.51.39       |TC   |MP      |MP      |        |        |               0.00|  |               0.00|   5.662700|               0.00|00000|00000|           -3053.29|
00740001|20191130|50|12054841|REV                    00000000000000000000         |007400015012054841REV                    00000000000000000000         |20191129|20.51.39       |TC   |MP      |MP      |        |        |               0.00|  |               0.00|   5.851600|               0.00|00000|00000|           10192.99|
00740001|20191130|50|12055473|DEF                    00000000000000000000         |007400015012055473DEF                    00000000000000000000         |20191129|20.51.39       |TC   |MP      |MP      |        |        |               0.00|  |               0.00|   5.851600|               0.00|00000|00000|              13.21|
